"global.loading","Chargement","75"
"global.yes","Oui","75"
"global.no","Non","53"
"global.help","Aide","53"
"global.button.export.csv","Exporter en csv","53"
"global.search.no_results","Aucun résultat trouvé","53"
"global.error.field.mismatch","Mots de passe non correspondant","53"
"global.error.title","L'application a rencontré une erreur imprévue.","53"
"global.error.text","Notre personnel technique vont traiter la demande dans les plus bref délais","53"
"global.notFound.path.first","Oups ! Le chemin","53"
"global.notFound.path.second"," n'a pas été trouvé.","53"
"global.notFound.redirect.first","Vous pouvez","53"
"global.notFound.redirect.second"," ou ","53"
"global.notFound.redirect.third"," sinon.","53"
"global.notFound.redirect.back"," revenir en arrière","53"
"global.notFound.redirect.home","sur la page d'acceuil","53"
"global.form.mandatory","Champs obligatoires","53"
"global.form.add","Ajouter","53"
"global.form.update","Mettre à jour","53"
"global.form.delete","Supprimer","53"
"global.form.placeholder.default.text","Remplir avec du texte","53"
"global.helper.fullName","{{ user ? user.first_name +' '+ user.last_name : ''}}","53"
"global.helper.fullNameWithId","{{ user ? user.first_name +' '+ user.last_name + ' (' + user.user_id + ')' : ''}}","53"
"core.general.continue","Continuer","53"
"core.general.previous","Précédent","53"
"core.general.end","Fin","53"
"core.general.total","Total","53"
"core.general.label.email","E-mail","53"
"core.general.no_network","Erreur réseau: Erreur lors de la demande aux services IT Portal.","53"
"core.general.page404.title","404","53"
"core.general.page404.description","La page que vous cherchez n'a pu être trouvée.","53"
"core.general.page404.link_back","Revenir à la page précédente","53"
"core.general.page404.link_home","Revenir à la page d'accueil","53"
"core.general.errors.userDetails","Erreur réseau: Impossible de récupérer les informations de l'utilisateur.","53"
"core.general.errors.yammer","Erreur réseau: Vous n'avez pas les certificats pour récupérer les articles Yammer.","53"
"core.general.errors.translations","Erreur réseau: Vous n'avez pas les certificats pour récupérer les traductions.","53"
"core.general.errors.ie8certificates","Erreur réseau: ServerXMLHTTP requiert un certificat numérique client installé.","53"
"core.general.errors.crossorigin","Erreur réseau: Impossible de traiter les requêtes d'origines croisées.","53"
"core.general.errors.authentication","Erreur réseau: Impossible de retrouver l'authentification.","53"
"core.general.errors.ge","Erreur réseau: Erreur lors de demande aux services GE.","53"
"core.search.labelFilter","Filtrer par","53"
"core.search.labelFilterWithValue","Filtrer avec le(s) critère(s) {{ value }}","53"
"core.search.allFilter","Tout Sélectionner","53"
"core.search.noneFilter","Tout Désélectionner","53"
"core.search.reset","Réinitialiser la récherche","53"
"core.search.history.title","Historique","53"
"core.search.history.clear_all","Tout effacer","53"
"core.carousel.see_this_section","Voir cette section","53"
"core.title_video","Présentation My IT Portal","53"
"sso_portal.sso_wserror_wiseguard_error","Vous devez vous authentifier par SmartCard SESAM ou par OTP","53"
"sso_portal.select_all","Tout Sélectionner","53"
"sso_portal.select_none","Tout Désélectionner","53"
"sso_portal.no_result","Aucune application trouvée pour le critère {{ criteria }}","53"
"sso_portal.name","Single Sign-On Portal ({{ length }} applications)","53"
"sso_portal.pagination","{{ total }} Applications - Page {{ current_page }} / {{nb_pages}}","53"
"sso_portal.presentation","Cette interface vous permet de renseigner les informations de connexion (login, mot de passe) pour toutes vos applications dans SSO. Vous pouvez aussi modifier à n'importe quel moment le mot de passe d'une application si celui-ci a été changé et n'a pas été mis à jour dans SSO.","53"
"sso_portal.no_account","Aucun compte trouvé","53"
"sso_portal.login","Login: ","53"
"sso_portal.create_account","Créer un compte","53"
"sso_portal.change_password","Changer le mot de passe","53"
"sso_portal.register","Enregister votre compte","53"
"sso_portal.filter","Filtres","53"
"sso_portal.filters.alstom","Alstom","53"
"sso_portal.filters.grid","Grid","53"
"sso_portal.filters.it","ITSSC","53"
"sso_portal.filters.renwable","Energie Renouvelable","53"
"sso_portal.filters.thermal","Energie Thermique","53"
"sso_portal.filters.transport","Transport","53"
"sso_portal.user_login","Login","53"
"sso_portal.enter_login","Entrer un login","53"
"sso_portal.password","Mot de passe","53"
"sso_portal.re_password","Confirmez votre mot de passe","53"
"sso_portal.policy","Politique de mot de passe","53"
"sso_portal.edit","Modifiez votre compte","53"
"accounts.welcome","Bienvenue dans My Accounts!","53"
"accounts.menu.my_profile","My Profile","53"
"accounts.menu.my_team","My Team","53"
"accounts.menu.my_sso","SSO Portal","53"
"accounts.menu.mobile","MobileApp","53"
"accounts.home.news.name","Quoi de neuf ?","53"
"accounts.home.tips.name","Astuces","53"
"accounts.organisation.show_more_subordinates","Afficher plus de collaborateurs de l'équipe de {{ name }}","53"
"accounts.organisation.mail","Mail {{ name }}","53"
"accounts.organisation.call","Appeler {{ name }}","53"
"accounts.organisation.see_hierarchy","Voir la hiérarchie de {{ name }}","53"
"accounts.organisation.chat_with","Communiquer avec {{ name }}","53"
"accounts.organisation.alstom_id","Alstom ID","53"
"accounts.organisation.ge_id","GE ID","53"
"accounts.organisation.email","E-mail","53"
"accounts.organisation.business_unit","Business Unit","53"
"accounts.organisation.cost_center","Cost Center","53"
"accounts.organisation.teranga_unit","Teranga Unit","53"
"accounts.organisation.office_floor","Etage","53"
"accounts.organisation.office","Bureau","53"
"accounts.organisation.mobile","Mobile","53"
"accounts.organisation.employee_types.internal","Interne","53"
"accounts.organisation.employee_types.contractor","Consultant","53"
"accounts.mobile.devices.title","Mon application mobile","53"
"accounts.mobile.devices.new_device","Nouvel appareil","53"
"accounts.mobile.devices.pairing_token","Appairer","53"
"accounts.mobile.devices.pairing_token_placeholder","","53"
"accounts.mobile.devices.submit","Valider","53"
"accounts.mobile.devices.delete_confirm","Etes-vous sûr?","53"
